k,alpha,stable
1.5555555555555554,4.190079105786669,True
1.5555555555555554,4.641588833612782,True
1.5555555555555554,5.141751827683928,True
1.5555555555555554,5.695810810737687,True
1.5555555555555554,6.309573444801936,True
1.5555555555555554,6.989473207273487,True
1.5555555555555554,7.742636826811269,True
1.5555555555555554,8.576958985908945,True
1.5555555555555554,9.50118507318144,True
1.5555555555555554,10.525002852777327,True
1.5555555555555554,11.659144011798324,True
1.5555555555555554,12.91549665014884,True
1.5555555555555554,14.307229891937586,True
1.5555555555555554,15.848931924611142,True
1.5555555555555554,17.556762912750013,True
1.5555555555555554,19.448624389373634,True
1.5555555555555554,21.544346900318846,True
1.5555555555555554,23.865897868585808,True
1.5555555555555554,26.437611857491014,True
1.5555555555555554,29.286445646252375,True
1.5555555555555554,32.4422607917163,True
1.5555555555555554,35.938136638046295,True
1.5555555555555554,39.810717055349734,True
1.5555555555555554,44.100594541767364,True
1.5555555555555554,48.852735715193916,True
1.5555555555555554,54.116952654646376,True
1.5555555555555554,59.948425031894146,True
1.5555555555555554,66.40827850634845,True
1.5555555555555554,73.56422544596414,True
1.5555555555555554,81.49127469020749,True
1.5555555555555554,90.27251779484578,True
1.5555555555555554,100.0,True
1.7777777777777777,0.01,True
1.7777777777777777,0.011077568505097092,True
1.7777777777777777,0.012271252398511897,True
1.7777777777777777,0.013593563908785255,True
1.7777777777777777,0.015058363542798407,True
1.7777777777777777,0.016681005372000592,True
1.7777777777777777,0.018478497974222907,True
1.7777777777777777,0.02046968271807521,True
1.7777777777777777,0.02267543125870802,True
1.7777777777777777,0.025118864315095794,True
1.7777777777777777,0.027825594022071243,True
1.7777777777777777,0.030823992397451434,True
1.7777777777777777,0.034145488738336005,True
