k,class,class_code,x_mean,x_min,x_max,x_amplitude,x_rel_amp,y_mean,y_min,y_max,y_amplitude,y_rel_amp,z_mean,z_min,z_max,z_amplitude,z_rel_amp
9.4,stable_coexistence,0,30.000000001676987,29.999999995516145,30.00000010914364,1.1362749674503902e-07,3.7875832246229095e-09,0.23734902304487687,0.23734902255425375,0.23734902311499056,5.607368180893246e-10,2.3624989515263382e-09,0.23734902304477604,0.23734902254772414,0.23734902311498743,5.672632918951592e-10,2.3899963211061638e-09
9.600000000000001,stable_coexistence,0,30.000000001755623,29.999999995787363,30.00000010995304,1.1416567602395844e-07,3.805522533909246e-09,0.23261050142766598,0.23261050092470936,0.2326105014931023,5.683929438227153e-10,2.4435394805228255e-09,0.2326105014275626,0.23261050091826418,0.23261050149309812,5.748339304556538e-10,2.471229488470282e-09
9.8,stable_coexistence,0,30.00000000182891,29.999999996034116,30.000000110568678,1.1453456139065565e-07,3.817818712789107e-09,0.22805770338578507,0.22805770287246552,0.2280577034470482,5.745826869851811e-10,2.519461866250612e-09,0.2280577033856795,0.22805770286611257,0.2280577034470444,5.809318304184075e-10,2.54730194066702e-09
10.0,stable_coexistence,0,30.000000001897178,29.999999996259202,30.000000111008188,1.1474898542473966e-07,3.8249661805827676e-09,0.22367990774256694,0.2236799072206543,0.22367990780009478,5.794404678294285e-10,2.5904895691226035e-09,0.2236799077424596,0.22367990721439987,0.22367990780009198,5.856921059255171e-10,2.618438606474517e-09
10.200000000000001,stable_coexistence,0,30.000000001960732,29.999999996465025,30.000000111287612,1.1482258699402337e-07,3.827419566217294e-09,0.21946720378801648,0.21946720325909885,0.21946720384218996,5.830911031790009e-10,2.656848463528092e-09,0.21946720378790763,0.21946720325294805,0.219467203842189,5.892409615793071e-10,2.6848702284863704e-09
10.4,stable_coexistence,0,30.000000002019842,29.999999996653752,30.000000111421585,1.147678325708057e-07,3.825594418769287e-09,0.21541041604164668,0.21541041550714823,0.215410416092801,5.856527762748698e-10,2.71877649668361e-09,0.21541041604153666,0.21541041550110504,0.2154104160927986,5.916935552630065e-10,2.7468196113084433e-09
10.600000000000001,stable_coexistence,0,30.0000000020748,29.99999999682699,30.00000011142342,1.1459643189937196e-07,3.8198810630482156e-09,0.2115010372513628,0.2115010367125603,0.21150103729978778,5.872274888574225e-10,2.7764756924549595e-09,0.2115010372512519,0.21150103670662784,0.21150103729978698,5.931591329222385e-10,2.8045211533293545e-09
10.8,stable_coexistence,0,30.00000000212582,29.999999996986556,30.0000001113053,1.1431874469280956e-07,3.810624822823628e-09,0.20773116859451501,0.20773116805255173,0.20773116864046906,5.879173259337733e-10,2.8301835006828824e-09,0.20773116859440344,0.20773116804673228,0.20773116864046653,5.9373425620457e-10,2.8581857032915335e-09
11.0,stable_coexistence,0,30.00000000217318,29.999999997133703,30.000000111078236,1.1394453380830782e-07,3.798151126668458e-09,0.2040934661930607,0.20409346564896053,0.20409346623676944,5.878089126554187e-10,2.8800966714896318e-09,0.20409346619294869,0.2040934656432557,0.20409346623676744,5.935117397548595e-10,2.908038904066406e-09
11.200000000000001,stable_coexistence,0,30.00000000221708,29.999999997269683,30.00000011075236,1.1348267747735008e-07,3.782755915632114e-09,0.200581093177861,0.20058109263253934,0.2005810932195238,5.86984461037332e-10,2.926419692592029e-09,0.2005810931777487,0.20058109262695012,0.2005810932195222,5.925720747423924e-10,2.954276823176303e-09
11.4,stable_coexistence,0,30.000000002257767,29.99999999739558,30.000000110336853,1.1294127233441031e-07,3.764709077530349e-09,0.19718767664132134,0.1971876760955967,0.197187676681116,5.855192997117342e-10,2.969350365523977e-09,0.19718767664120895,0.19718767609012358,0.19718767668111445,5.909908673551456e-10,2.9970983857701954e-09
