fear_form,k_fear,x_mean,x_min,x_max,x_amp,relative_amp_x,y_mean,y_min,y_max,y_amp,relative_amp_y,z_mean,z_min,z_max,z_amp,relative_amp_z
quadratic,0.6666666666666666,30.000000167075918,29.999998252166126,30.000002242250478,3.990084351812584e-06,1.3300281098636282e-07,2.153019893605859,2.1530197099895387,2.153019935517733,2.255281943419618e-07,1.0474970296913717e-07,2.1530198934106712,2.1530196360661202,2.1530200052615367,3.6919541646085463e-07,1.71477940167022e-07
quadratic,0.8333333333333333,29.99999987473175,29.999996477248033,30.00000048766553,4.01041749853448e-06,1.3368058384267598e-07,1.8417745914479569,1.8417745540294541,1.8417747053935227,1.5136406861238072e-07,8.218381842986547e-08,1.8417745915526833,1.8417744982041737,1.8417747679742682,2.697700944853665e-07,1.4647291569908885e-07
quadratic,1.0,29.99999989164972,29.99999877742302,30.00000014112614,1.363703120205173e-06,4.545677083767939e-08,1.6131677143951502,1.6131677006093412,1.6131677975932326,9.698389136225671e-08,6.012015396586353e-08,1.6131677144193965,1.613167643938202,1.6131678285703057,1.8463210382790862e-07,1.1445313601149403e-07
quadratic,1.1666666666666665,29.99999999127592,29.99999953878106,30.000001545780492,2.006999430648193e-06,6.68999810410589e-08,1.4372445000388432,1.4372444942638034,1.4372445277456307,3.348182731066629e-08,2.329584653810685e-08,1.4372445000137377,1.437244444302756,1.4372445781504368,1.3384768071666997e-07,9.312798254945312e-08
quadratic,1.3333333333333333,30.00000005598854,29.999999799685995,30.000001754558387,1.954872391962681e-06,6.516241294380892e-08,1.2972171915866706,1.2972171556476182,1.297217203104355,4.745673676254114e-08,3.6583493550882256e-08,1.297217191604563,1.2972171260084013,1.2972172487687914,1.2276039007552697e-07,9.463364413447735e-08
quadratic,1.5,30.00000007335574,29.999999902047044,30.000001161866578,1.2598195340274287e-06,4.1993984364896235e-08,1.1828643841778503,1.1828643423341016,1.1828643904342637,4.810016207557055e-08,4.0664139286738176e-08,1.1828643842124034,1.1828643103221013,1.182864432203466,1.2188136477853106e-07,1.030391703437595e-07
quadratic,1.6666666666666665,30.00000006098552,29.999999944544236,30.00000063526152,6.907172860337596e-07,2.3023909487653718e-08,1.0875701717478365,1.0875701403156532,1.08757017579996,3.5484306826205625e-08,3.26271423655782e-08,1.0875701717827964,1.087570105430142,1.0875702138210241,1.0839088204761538e-07,9.966334574056611e-08
quadratic,1.8333333333333333,30.000000036263668,29.999999735917164,30.00000037525815,6.393409854865695e-07,2.1311366157123995e-08,1.0068456272356245,1.0068456094978697,1.0068456299888238,2.0490954044660725e-08,2.035163434229727e-08,1.0068456272152402,1.0068455780277552,1.0068456655851075,8.75573522574058e-08,8.696204253226706e-08
quadratic,2.0,30.000000010098287,29.99999928718121,30.000000231031667,9.438504555703275e-07,3.14616818417529e-08,0.9375284933180509,0.937528483339735,0.9375284951156146,1.1775879604769557e-08,1.2560556493680987e-08,0.9375284932815335,0.9375284511146104,0.9375285284962357,7.738162532966442e-08,8.253789179114015e-08
quadratic,2.1666666666666665,29.99999998781826,29.999999058351825,30.000000155204273,1.0968524470911234e-06,3.656174825121575e-08,0.8773217762902441,0.8773217702684233,0.8773217819995307,1.1731107418810893e-08,1.337149918745038e-08,0.8773217762965011,0.8773217402158331,0.8773218083883413,6.81725081941309e-08,7.770525026955846e-08
