k_fear,alpha_mem,stable_theory,A1,A2,A3,rh_margin
2.4000000000000004,0.012143470234613032,True,0.149643470234613,0.0029197271572592915,0.00011637492308170823,0.0003205431808688138
2.6,0.012143470234613032,True,0.1504873672049513,0.002845585297965844,0.00011500623855119802,0.0003132184010967987
2.8000000000000003,0.012143470234613032,True,0.15122344446458474,0.0027809161042952482,0.00011380865668523431,0.00030673105537332753
3.0,0.012143470234613032,True,0.15187128177322043,0.002723999366505961,0.00011275173605552369,0.00030094553928517706
3.2,0.012143470234613032,True,0.1524459595267999,0.0026735101733430973,0.00011181189726476179,0.0002957539264151878
3.4000000000000004,0.012143470234613032,True,0.1529592874119867,0.0026284109667187787,0.00011097058262166466,0.00029106928587349076
3.6,0.012143470234613032,True,0.1534206496536502,0.002587877281201447,0.00011021298045844434,0.00028682083324740366
3.8000000000000003,0.012143470234613032,True,0.15383760000823204,0.0025512454699634338,0.00010952712108888193,0.0002829503590421668
4.0,0.012143470234613032,True,0.15421628915783098,0.0025179751554198658,0.0001089032235149913,0.00027940956114547307
4.2,0.012143470234613032,True,0.15456177728220896,0.002487621767736863,0.00010833321506639207,0.0002761580265609279
4.4,0.012143470234613032,True,0.1548782663606052,0.0024598161356003383,0.00010781037265938417,0.0002731616859882396
4.6000000000000005,0.012143470234613032,True,0.1551692753328778,0.002434249097165866,0.00010732905110161043,0.000270391617285329
4.800000000000001,0.012143470234613032,True,0.15543777391566743,0.0024106597434350404,0.00010688447469088206,0.00026782310949677464
5.0,0.012143470234613032,True,0.15568628605713947,0.0023888263290807376,0.00010647257550335151,0.0002654349237067386
5.2,0.012143470234613032,True,0.15591697079376585,0.0023685591686509054,0.00010608986657629546,0.0002632087041455541
5.4,0.012143470234613032,True,0.1561316860790451,0.0023496950287986936,0.00010573334148491269,0.0002611285051329778
5.6000000000000005,0.012143470234613032,True,0.15633203963526685,0.002332092660622896,0.00010540039410457305,0.0002591804081490404
5.800000000000001,0.012143470234613032,True,0.15651942981201394,0.0023156292099817634,0.00010508875396810298,0.0002573522096342869
6.0,0.012143470234613032,True,0.15669507867454202,0.002300197310462801,0.00010479643378550488,0.0002556331647444336
6.2,0.012143470234613032,True,0.15686005899635058,0.0022857027119091264,0.00010452168653226153,0.00025401377570592255
6.4,0.012143470234613032,True,0.15701531642953853,0.0022720623326089448,0.00010426297012701735,0.00025248561597521153
6.6000000000000005,0.012143470234613032,True,0.15716168783074339,0.002259202649242211,0.00010401891817466731,0.00025104118333192546
6.800000000000001,0.012143470234613032,True,0.15729991649988517,0.0022470583580573413,0.0001037883155914396,0.0002496737765013493
7.0,0.012143470234613032,True,0.15743066492289118,0.0022355712553397025,0.00010357007818569366,0.00024837739102493827
7.2,0.012143470234613032,True,0.15755452548344995,0.0022246892963142333,0.00010336323546401213,0.00024714663096488706
7.4,0.012143470234613032,True,0.15767202951224035,0.0022143658001112345,0.00010316691608256829,0.000245976633703466
7.6000000000000005,0.012143470234613032,True,0.15778365496753197,0.0022045587749758644,0.00010298033548013481,0.00024486300562630195
7.800000000000001,0.012143470234613032,True,0.15788983298303907,0.0021952303429960233,0.00010280278531983208,0.00024380176689510962
8.0,0.012143470234613032,True,0.15799095347352962,0.002186346247613353,0.00010263362443790938,0.00024278930384579795
8.200000000000001,0.012143470234613032,True,0.15808736995286768,0.002177875430326512,0.00010247227105410796,0.0002418223278111802
8.4,0.012143470234613032,True,0.1581794036907962,0.0021697896654907585,0.00010231819604285342,0.00024089783937892691
8.6,0.012143470234613032,True,0.15826734731209885,0.0021620632441081244,0.00010217091710026793,0.0002400130972657158
8.8,0.012143470234613032,True,0.15835146792360313,0.0021546726990996174,0.00010202999367072031,0.00023916559112661614
9.0,0.012143470234613032,True,0.15843200983982822,0.002147596565839431,0.00010189502251984805,0.000238353017731206
9.200000000000001,0.012143470234613032,True,0.15850919696617943,0.0021408151727756353,0.00010176563385984096,0.0002375732600298377
9.4,0.012143470234613032,True,0.15858323488891402,0.002134310457813163,0.0001016414879481625,0.00023682436870908798
9.600000000000001,0.012143470234613032,True,0.15865431271316205,0.0021280658068314365,0.00010152227209349889,0.00023610454589772335
9.8,0.012143470234613032,True,0.15872260468378116,0.0021220659112820084,0.00010140769801310835,0.0002354121307362337
10.0,0.012143470234613032,True,0.158788271618421,0.002116296642284225,0.00010129749949433447,0.0002347455865658454
10.200000000000001,0.012143470234613032,True,0.15885146217773127,0.002110744939029272,0.00010119143032016896,0.00023410348952887717
10.4,0.012143470234613032,True,0.1589123139939195,0.0021053987096290396,0.00010108926242469224,0.00023348451840227066
